# Catálogo de AÇÕES brasileiras (asset_class=acao)
#
# Cada linha foi confirmada em PELO MENOS UMA fonte oficial (B3, RI ou CVM).
# Tickers renomeados (ex.: ALSO3 -> ALOS3, TRPL4 -> ISAE4) ficam como linhas
# separadas com o MESMO CNPJ. O ticker velho preserva o histórico de operações.
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
ABEV3,07.526.557/0001-00,AMBEV S.A.,acao,,,,B3/CVM 2026-05
ALOS3,05.878.397/0001-32,ALLOS S.A.,acao,,,,B3 2026-05 (ex-Aliansce Sonae)
ALSO3,05.878.397/0001-32,ALLOS S.A.,acao,,,,B3 2026-05 (ticker antigo ALSO3 -> ALOS3 desde 2023)
BBAS3,00.000.000/0001-91,BANCO DO BRASIL S.A.,acao,,,,B3 2026-05
BBDC4,60.746.948/0001-12,BANCO BRADESCO S.A.,acao,,,,B3/CVM 2026-05
BBSE3,17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,acao,,,,B3 2026-05
EGIE3,02.474.103/0001-19,ENGIE BRASIL ENERGIA S.A.,acao,,,,B3/RI Engie 2026-05
ENGI3,00.864.214/0001-06,ENERGISA S.A.,acao,,,,CVM/RI 2026-05
FLRY3,60.840.055/0001-31,FLEURY S.A.,acao,,,,B3/RI 2026-05
ISAE4,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,acao,,,,B3 2026-05 (ex-CTEEP/TRPL4)
ITSA4,61.532.644/0001-15,ITAÚSA S.A.,acao,,,,B3/RI Itaúsa 2026-05
ITUB4,60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,acao,,,,B3 2026-05
KLBN4,89.637.490/0001-45,KLABIN S.A.,acao,,,,B3 2026-05
MDIA3,07.206.816/0001-15,M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS,acao,,,,B3/CVM 2026-05
MGLU3,47.960.950/0001-21,MAGAZINE LUIZA S.A.,acao,,,,B3/RI 2026-05
PETR4,33.000.167/0001-01,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,acao,,,,B3/CVM 2026-05
SAPR11,76.484.013/0001-45,COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR,acao,,,,B3 2026-05 (Unit 1 ON + 4 PN)
TAEE4,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,acao,,,,B3/RI Taesa 2026-05
TRPL4,02.998.611/0001-04,ISA ENERGIA BRASIL S.A.,acao,,,,B3 2026-05 (ticker antigo TRPL4 -> ISAE4)
WEGE3,84.429.695/0001-11,WEG S.A.,acao,,,,B3/CVM 2026-05
