# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
AAGR11,44.585.001/0001-10,ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO,fiagro,Fiagro,,,FundsExplorer 2026-05
AATH11,40.884.088/0001-76,ATHON ENERGIA ESG I FDO INV PART EM INFRAESTRUTURA,fii,Fip,,,FundsExplorer 2026-05
AAZQ11,44.625.826/0001-11,AZ Quest Sole,fiagro,Fiagro,,,FundsExplorer 2026-05
ABCP11,01.201.140/0001-90,Grand Plaza Shopping,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
AEFI11,13.873.457/0001-52,FII AESAPAR,fii,Fundo Misto,Educacional,,FundsExplorer 2026-05
AFCR11,,FII AFINVCR,fii,Papel,Papéis,,FundsExplorer 2026-05
AFHI11,36.642.293/0001-58,AF INVEST CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
AFOF11,,ALIANZA FOF,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
AGCX11,15.576.907/0001-70,FII AG CAIXA,fii,Tijolo,Agências de Bancos,,FundsExplorer 2026-05
AGRX11,43.951.911/0001-07,Exes Araguaia,fiagro,Fiagro,,,FundsExplorer 2026-05
AIEC11,35.765.826/0001-26,AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
AJFI11,51.472.985/0001-99,AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
ALMI11,07.122.725/0001-00,Torre Almirante,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
ALMI11B,,FII TORRE AL,fii,Outros,,,FundsExplorer 2026-05
ALZC11,40.011.324/0001-40,FII ALI CRED,fii,Papel,Papéis,,FundsExplorer 2026-05
ALZM11,34.847.063/0001-08,FII ALIANZME,fii,Multiestratégia,Fundo de Fundos,,FundsExplorer 2026-05
ALZR11,28.737.771/0001-85,Alianza Trust Renda Imobiliária,fii,Tijolo,Misto,,FundsExplorer 2026-05
AMAZ11,39.405.730/0001-08,BLOXS AMAZON GREEN LEG FDO INV NAS CAD PROD AGRO,fiagro,Fiagro,,,FundsExplorer 2026-05
ANCR11B,07.789.135/0001-27,Ancar CI,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
APTO11,42.432.327/0001-82,NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Fundo Misto,Imóveis Residenciais,,FundsExplorer 2026-05
APXM11,43.010.485/0001-07,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,fii,Tijolo,Shoppings,,FundsExplorer 2026-05
APXR11,52.446.271/0001-79,APEX REALTY FDO DE INV IMOB RESP LTDA,fii,Sem categoria,Imóveis Residenciais,,FundsExplorer 2026-05
APXU11,52.521.137/0001-95,APEX URB FDO DE INV IMOB RESP LTDA,fii,Tijolo,Imóveis Residenciais,,FundsExplorer 2026-05
AQLL11,13.555.918/0001-49,FII AQUILLA,fii,Outros,Fundo de Fundos,,FundsExplorer 2026-05
ARCT11,28.267.696/0001-36,RIZA ARCTIUM REAL ESTATE FDO INV IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
ARFI11B,14.069.202/0001-02,FII AQUIL RD,fii,Outros,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
AROA11,44.674.528/0001-11,AROEIRA 333 RENDA LOGÍSTICA FDO DE INV IMOB,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
ARRI11,32.006.821/0001-21,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,fii,Papel,Papéis,,FundsExplorer 2026-05
