# Seed do cadastro fiscal IRPF (asset_metadata)
#
# Cada linha mapeia um ticker B3 para CNPJ + razão social oficial + classe IRPF.
# Carregado pelo bootstrap (`make bootstrap-asset-metadata`) — só preenche linhas
# onde os campos estão NULL; nunca sobrescreve dado já preenchido manualmente.
#
# IMPORTANTE — CONTRATO HUMANO:
# - Cada linha aqui foi confirmada com PELO MENOS UMA fonte oficial (B3, RI ou CVM).
# - Tickers renomeados (ex.: GALG11 -> GARE11) ficam como linhas separadas com o
#   MESMO CNPJ. O ticker velho preserva o histórico de operações antigas.
# - NUNCA inclua um ticker sem confirmar o CNPJ. Em caso de dúvida, deixe a Skill
#   `asset-metadata-enrich` lidar com o caso e proponha um diff aqui via PR.
# - Razão social vai EXATA como aparece no documento oficial (sem traduzir, sem
#   abreviar, mantendo acentos).
#
# Formato: ticker,cnpj,razao_social,asset_class_irpf,fonte
# - asset_class_irpf: acao | fii | fiagro | bdr | etf
# - fonte: descrição curta da fonte primária (ex.: "B3 2026-04", "RI Itausa 2026-04")
#
ticker,cnpj,razao_social,asset_class_irpf,fonte
ABEV3,07.526.557/0001-00,AMBEV S.A.,acao,B3/CVM 2026-05
ALOS3,05.878.397/0001-32,ALLOS S.A.,acao,B3 2026-05 (ex-Aliansce Sonae)
ALSO3,05.878.397/0001-32,ALLOS S.A.,acao,B3 2026-05 (ticker antigo ALSO3 -> ALOS3 desde 2023)
BBAS3,00.000.000/0001-91,BANCO DO BRASIL S.A.,acao,B3 2026-05
BBDC4,60.746.948/0001-12,BANCO BRADESCO S.A.,acao,B3/CVM 2026-05
BBSE3,17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,acao,B3 2026-05
BTAL11,36.642.244/0001-15,BTG PACTUAL AGRO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,fiagro,B3/BTG 2026-05 (FIAGRO)
BTHF11,45.188.176/0001-57,BTG PACTUAL REAL ESTATE HEDGE FUND FII,fii,B3/BTG 2026-05
BTRA11,41.076.607/0001-32,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS,fiagro,B3/BTG 2026-05 (FIAGRO Terras Agrícolas)
CVBI11,28.729.197/0001-13,PÁTRIA CRÉDITO IMOBILIÁRIO ÍNDICE DE PREÇOS FII,fii,B3/CVM 2026-05 (ex-VBI CRI)
EGIE3,02.474.103/0001-19,ENGIE BRASIL ENERGIA S.A.,acao,B3/RI Engie 2026-05
ENGI3,00.864.214/0001-06,ENERGISA S.A.,acao,CVM/RI 2026-05
FLRY3,60.840.055/0001-31,FLEURY S.A.,acao,B3/RI 2026-05
